OS,Windows XPComputer Name,et-pc-102-29.Test time,2012/11/05,19:50:30
v5.1.0.1 <> (Nov  4 2012 21:16:25)
C:/Program Files/Philips Color Kinetics/Fixture Test Engine/FTE-MRG3-Power Supply PCA.xml, $Rev: 628 $, WARNING: XML file has been modified
Operator,hbnnbbn
Part Number,PCA-000662-00
Device,PRINTED CIRCUIT ASSEMBLY, ICOLOR MR G3, DRIVER


******************,**********,**********
Results
******************,**********,**********
Subassembly,12345678

Test Start Time, 19:48:26
Elapsed Time, 0:02:03
Overall Result, Pass

Pixel, P/F, Channel, P/F, 7.5V, P/F, 3.3V, P/F, Pass/Fail
0,  , 0 - Red_A,  , 7.36, P, 3.11, P
0,  , 1 - Green_A,  , ,  , 3.11, P
0,  , 2 - Blue_A,  , ,  , 3.11, P
0,  , 0 - Red_B,  , 7.36, P, 3.12, P
0,  , 1 - Green_B,  , ,  , 3.11, P
0,  , 2 - Blue_B,  , ,  , 3.11, P


******************,**********,**********
Rejection Criteria
******************,**********,**********
MRG3 PS Polarity A
,Pixel,0
,,Channel,0
,,Channel,1
,,Channel,2
MRG3 PS Polarity B
,Pixel,0
,,Channel,0
,,Channel,1
,,Channel,2


